Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 3, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSL', 'short_window_frac': 32}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 1,966,336
  scalars                 : 6
  total                   : 10,354,950
Estimated FLOPs per token: 3.106560e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010937 | lrm: 1.00 | dt: 1208ms | tok/sec: 27,126 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.953341 | lrm: 1.00 | dt: 760ms | tok/sec: 43,101 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.736033 | lrm: 1.00 | dt: 765ms | tok/sec: 42,842 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.436051 | lrm: 1.00 | dt: 775ms | tok/sec: 42,287 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.132675 | lrm: 1.00 | dt: 768ms | tok/sec: 42,682 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.857538 | lrm: 1.00 | dt: 776ms | tok/sec: 42,249 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.628935 | lrm: 1.00 | dt: 752ms | tok/sec: 43,552 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.442322 | lrm: 1.00 | dt: 746ms | tok/sec: 43,947 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.266189 | lrm: 1.00 | dt: 778ms | tok/sec: 42,094 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.118390 | lrm: 1.00 | dt: 773ms | tok/sec: 42,391 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.996894 | lrm: 1.00 | dt: 762ms | tok/sec: 43,026 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.878456 | lrm: 1.00 | dt: 780ms | tok/sec: 42,032 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.783588 | lrm: 1.00 | dt: 781ms | tok/sec: 41,973 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 6.691325 | lrm: 1.00 | dt: 785ms | tok/sec: 41,754 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00014 (0.8%) | loss: 6.604988 | lrm: 1.00 | dt: 780ms | tok/sec: 41,995 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00015 (1.0%) | loss: 6.529998 | lrm: 1.00 | dt: 755ms | tok/sec: 43,390 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00016 (1.3%) | loss: 6.450977 | lrm: 1.00 | dt: 756ms | tok/sec: 43,368 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00017 (1.5%) | loss: 6.384171 | lrm: 1.00 | dt: 773ms | tok/sec: 42,415 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00151 (35.6%) | loss: 4.551396 | lrm: 1.00 | dt: 778ms | tok/sec: 42,112 | mfu: 0.1% | epoch: 1 | remaining: 193s    
step 00152 (35.8%) | loss: 4.541678 | lrm: 1.00 | dt: 746ms | tok/sec: 43,922 | mfu: 0.1% | epoch: 1 | remaining: 192s    
step 00153 (36.1%) | loss: 4.538092 | lrm: 1.00 | dt: 745ms | tok/sec: 44,004 | mfu: 0.1% | epoch: 1 | remaining: 191s    
step 00154 (36.3%) | loss: 4.528592 | lrm: 1.00 | dt: 762ms | tok/sec: 42,990 | mfu: 0.1% | epoch: 1 | remaining: 190s    
step 00155 (36.6%) | loss: 4.524996 | lrm: 1.00 | dt: 778ms | tok/sec: 42,109 | mfu: 0.1% | epoch: 1 | remaining: 190s    
step 00156 (36.8%) | loss: 4.521362 | lrm: 1.00 | dt: 770ms | tok/sec: 42,576 | mfu: 0.1% | epoch: 1 | remaining: 189s    
step 00157 (37.1%) | loss: 4.521093 | lrm: 1.00 | dt: 759ms | tok/sec: 43,163 | mfu: 0.1% | epoch: 1 | remaining: 188s    
step 00158 (37.3%) | loss: 4.509228 | lrm: 1.00 | dt: 758ms | tok/sec: 43,256 | mfu: 0.1% | epoch: 1 | remaining: 187s    
step 00159 (37.6%) | loss: 4.500557 | lrm: 1.00 | dt: 783ms | tok/sec: 41,875 | mfu: 0.1% | epoch: 1 | remaining: 186s    
step 00160 (37.8%) | loss: 4.479229 | lrm: 1.00 | dt: 840ms | tok/sec: 39,019 | mfu: 0.1% | epoch: 1 | remaining: 186s    
step 00161 (38.1%) | loss: 4.479825 | lrm: 1.00 | dt: 822ms | tok/sec: 39,856 | mfu: 0.1% | epoch: 1 | remaining: 185s    
step 00162 (38.4%) | loss: 4.473742 | lrm: 1.00 | dt: 862ms | tok/sec: 38,011 | mfu: 0.1% | epoch: 1 | remaining: 184s    
step 00163 (38.7%) | loss: 4.463771 | lrm: 1.00 | dt: 852ms | tok/sec: 38,450 | mfu: 0.1% | epoch: 1 | remaining: 183s    
step 00164 (39.0%) | loss: 4.455649 | lrm: 1.00 | dt: 909ms | tok/sec: 36,065 | mfu: 0.1% | epoch: 1 | remaining: 182s    
step 00165 (39.3%) | loss: 4.444040 | lrm: 1.00 | dt: 785ms | tok/sec: 41,725 | mfu: 0.1% | epoch: 1 | remaining: 181s    
step 00166 (39.5%) | loss: 4.436960 | lrm: 1.00 | dt: 778ms | tok/sec: 42,117 | mfu: 0.1% | epoch: 1 | remaining: 181s    
step 00167 (39.8%) | loss: 4.444105 | lrm: 1.00 | dt: 777ms | tok/sec: 42,161 | mfu: 0.1% | epoch: 1 | remaining: 180s    
step 00168 (40.1%) | loss: 4.446325 | lrm: 1.00 | dt: 773ms | tok/sec: 42,406 | mfu: 0.1% | epoch: 1 | remaining: 179s    
step 00169 (40.3%) | loss: 4.437549 | lrm: 1.00 | dt: 785ms | tok/sec: 41,724 | mfu: 0.1% | epoch: 1 | remaining: 178s    
step 00170 (40.6%) | loss: 4.429651 | lrm: 0.99 | dt: 775ms | tok/sec: 42,287 | mfu: 0.1% | epoch: 1 | remaining: 178s    
step 00171 (40.8%) | loss: 4.430190 | lrm: 0.99 | dt: 743ms | tok/sec: 44,091 | mfu: 0.1% | epoch: 1 | remaining: 177s    
step 00172 (41.1%) | loss: 4.428783 | lrm: 0.98 | dt: 767ms | tok/sec: 42,731 | mfu: 0.1% | epoch: 1 | remaining: 176s    
step 00173 (41.3%) | loss: 4.421013 | lrm: 0.98 | dt: 802ms | tok/sec: 40,868 | mfu: 0.1% | epoch: 1 | remaining: 175s    
step 00174 (41.6%) | loss: 4.420943 | lrm: 0.98 | dt: 754ms | tok/sec: 43,486 | mfu: 0.1% | epoch: 1 | remaining: 174s    
step 00175 (41.9%) | loss: 4.411760 | lrm: 0.97 | dt: 746ms | tok/sec: 43,945 | mfu: 0.1% | epoch: 1 | remaining: 174s    
step 00176 (42.1%) | loss: 4.399467 | lrm: 0.97 | dt: 743ms | tok/sec: 44,083 | mfu: 0.1% | epoch: 1 | remaining: 173s    
step 00177 (42.3%) | loss: 4.396944 | lrm: 0.96 | dt: 764ms | tok/sec: 42,871 | mfu: 0.1% | epoch: 1 | remaining: 172s    
step 00178 (42.6%) | loss: 4.393561 | lrm: 0.96 | dt: 744ms | tok/sec: 44,063 | mfu: 0.1% | epoch: 1 | remaining: 171s    
step 00179 (42.9%) | loss: 4.383071 | lrm: 0.96 | dt: 748ms | tok/sec: 43,781 | mfu: 0.1% | epoch: 1 | remaining: 171s    
step 00180 (43.1%) | loss: 4.390114 | lrm: 0.95 | dt: 741ms | tok/sec: 44,232 | mfu: 0.1% | epoch: 1 | remaining: 170s    
step 00181 (43.3%) | loss: 4.381258 | lrm: 0.95 | dt: 737ms | tok/sec: 44,456 | mfu: 0.1% | epoch: 1 | remaining: 169s    
step 00182 (43.6%) | loss: 4.387779 | lrm: 0.94 | dt: 739ms | tok/sec: 44,353 | mfu: 0.1% | epoch: 1 | remaining: 168s    
step 00183 (43.8%) | loss: 4.385202 | lrm: 0.94 | dt: 758ms | tok/sec: 43,248 | mfu: 0.1% | epoch: 1 | remaining: 168s    
step 00184 (44.1%) | loss: 4.391539 | lrm: 0.94 | dt: 742ms | tok/sec: 44,188 | mfu: 0.1% | epoch: 1 | remaining: 167s    
step 00185 (44.3%) | loss: 4.378607 | lrm: 0.93 | dt: 741ms | tok/sec: 44,220 | mfu: 0.1% | epoch: 1 | remaining: 166s    
step 00186 (44.6%) | loss: 4.380760 | lrm: 0.93 | dt: 743ms | tok/sec: 44,110 | mfu: 0.1% | epoch: 1 | remaining: 165s    
step 00187 (44.8%) | loss: 4.379404 | lrm: 0.93 | dt: 738ms | tok/sec: 44,392 | mfu: 0.1% | epoch: 1 | remaining: 165s    
step 00188 (45.1%) | loss: 4.375716 | lrm: 0.92 | dt: 746ms | tok/sec: 43,953 | mfu: 0.1% | epoch: 1 | remaining: 164s    
step 00189 (45.3%) | loss: 4.366583 | lrm: 0.92 | dt: 742ms | tok/sec: 44,145 | mfu: 0.1% | epoch: 1 | remaining: 163s    
step 00190 (45.6%) | loss: 4.366803 | lrm: 0.91 | dt: 745ms | tok/sec: 43,963 | mfu: 0.1% | epoch: 1 | remaining: 163s    
step 00191 (45.8%) | loss: 4.364680 | lrm: 0.91 | dt: 747ms | tok/sec: 43,846 | mfu: 0.1% | epoch: 1 | remaining: 162s    
step 00192 (46.1%) | loss: 4.357926 | lrm: 0.91 | dt: 741ms | tok/sec: 44,231 | mfu: 0.1% | epoch: 1 | remaining: 161s    
step 00193 (46.3%) | loss: 4.353555 | lrm: 0.90 | dt: 741ms | tok/sec: 44,212 | mfu: 0.1% | epoch: 1 | remaining: 160s    
step 00194 (46.6%) | loss: 4.353551 | lrm: 0.90 | dt: 750ms | tok/sec: 43,682 | mfu: 0.1% | epoch: 1 | remaining: 160s    
step 00195 (46.8%) | loss: 4.349269 | lrm: 0.90 | dt: 740ms | tok/sec: 44,296 | mfu: 0.1% | epoch: 1 | remaining: 159s    
step 00196 (47.1%) | loss: 4.345202 | lrm: 0.89 | dt: 735ms | tok/sec: 44,608 | mfu: 0.1% | epoch: 1 | remaining: 158s    
step 00197 (47.3%) | loss: 4.335694 | lrm: 0.89 | dt: 743ms | tok/sec: 44,098 | mfu: 0.1% | epoch: 1 | remaining: 157s    
step 00198 (47.6%) | loss: 4.336623 | lrm: 0.88 | dt: 747ms | tok/sec: 43,864 | mfu: 0.1% | epoch: 1 | remaining: 157s    
step 00199 (47.8%) | loss: 4.345300 | lrm: 0.88 | dt: 749ms | tok/sec: 43,750 | mfu: 0.1% | epoch: 1 | remaining: 156s    
step 00200 (48.1%) | loss: 4.329383 | lrm: 0.88 | dt: 747ms | tok/sec: 43,882 | mfu: 0.1% | epoch: 1 | remaining: 155s    
step 00201 (48.3%) | loss: 4.325240 | lrm: 0.87 | dt: 746ms | tok/sec: 43,926 | mfu: 0.1% | epoch: 1 | remaining: 154s    
step 00202 (48.6%) | loss: 4.314298 | lrm: 0.87 | dt: 737ms | tok/sec: 44,454 | mfu: 0.1% | epoch: 1 | remaining: 154s    
step 00203 (48.8%) | loss: 4.325874 | lrm: 0.87 | dt: 775ms | tok/sec: 42,269 | mfu: 0.1% | epoch: 1 | remaining: 153s    
step 00204 (49.1%) | loss: 4.319043 | lrm: 0.86 | dt: 758ms | tok/sec: 43,248 | mfu: 0.1% | epoch: 1 | remaining: 152s    
step 00205 (49.3%) | loss: 4.317286 | lrm: 0.86 | dt: 764ms | tok/sec: 42,900 | mfu: 0.1% | epoch: 1 | remaining: 151s    
step 00206 (49.6%) | loss: 4.316527 | lrm: 0.85 | dt: 775ms | tok/sec: 42,294 | mfu: 0.1% | epoch: 1 | remaining: 151s    
step 00207 (49.8%) | loss: 4.305934 | lrm: 0.85 | dt: 781ms | tok/sec: 41,936 | mfu: 0.1% | epoch: 1 | remaining: 150s    
step 00208 (50.1%) | loss: 4.285492 | lrm: 0.85 | dt: 766ms | tok/sec: 42,758 | mfu: 0.1% | epoch: 1 | remaining: 149s    
step 00209 (50.3%) | loss: 4.285934 | lrm: 0.84 | dt: 798ms | tok/sec: 41,060 | mfu: 0.1% | epoch: 1 | remaining: 148s    
step 00210 (50.6%) | loss: 4.270947 | lrm: 0.84 | dt: 778ms | tok/sec: 42,130 | mfu: 0.1% | epoch: 1 | remaining: 147s    
step 00211 (50.9%) | loss: 4.255056 | lrm: 0.83 | dt: 764ms | tok/sec: 42,865 | mfu: 0.1% | epoch: 1 | remaining: 147s    
step 00212 (51.1%) | loss: 4.257490 | lrm: 0.83 | dt: 778ms | tok/sec: 42,121 | mfu: 0.1% | epoch: 1 | remaining: 146s    
step 00213 (51.4%) | loss: 4.253553 | lrm: 0.83 | dt: 747ms | tok/sec: 43,844 | mfu: 0.1% | epoch: 1 | remaining: 145s    
step 00214 (51.6%) | loss: 4.256344 | lrm: 0.82 | dt: 740ms | tok/sec: 44,276 | mfu: 0.1% | epoch: 1 | remaining: 144s    
step 00215 (51.9%) | loss: 4.262742 | lrm: 0.82 | dt: 742ms | tok/sec: 44,152 | mfu: 0.1% | epoch: 1 | remaining: 144s    
step 00216 (52.1%) | loss: 4.260236 | lrm: 0.81 | dt: 738ms | tok/sec: 44,389 | mfu: 0.1% | epoch: 1 | remaining: 143s    
step 00217 (52.4%) | loss: 4.254517 | lrm: 0.81 | dt: 737ms | tok/sec: 44,435 | mfu: 0.1% | epoch: 1 | remaining: 142s    
step 00218 (52.6%) | loss: 4.254489 | lrm: 0.81 | dt: 741ms | tok/sec: 44,214 | mfu: 0.1% | epoch: 1 | remaining: 141s    
step 00219 (52.9%) | loss: 4.248163 | lrm: 0.80 | dt: 742ms | tok/sec: 44,182 | mfu: 0.1% | epoch: 1 | remaining: 141s    
step 00220 (53.1%) | loss: 4.249089 | lrm: 0.80 | dt: 735ms | tok/sec: 44,591 | mfu: 0.1% | epoch: 1 | remaining: 140s    
step 00221 (53.4%) | loss: 4.254624 | lrm: 0.80 | dt: 731ms | tok/sec: 44,798 | mfu: 0.1% | epoch: 1 | remaining: 139s    
step 00222 (53.6%) | loss: 4.248292 | lrm: 0.79 | dt: 750ms | tok/sec: 43,711 | mfu: 0.1% | epoch: 1 | remaining: 138s    
step 00223 (53.8%) | loss: 4.242263 | lrm: 0.79 | dt: 734ms | tok/sec: 44,671 | mfu: 0.1% | epoch: 1 | remaining: 138s    
step 00224 (54.1%) | loss: 4.232225 | lrm: 0.78 | dt: 733ms | tok/sec: 44,701 | mfu: 0.1% | epoch: 1 | remaining: 137s    
step 00225 (54.3%) | loss: 4.226851 | lrm: 0.78 | dt: 736ms | tok/sec: 44,521 | mfu: 0.1% | epoch: 1 | remaining: 136s    
step 00226 (54.6%) | loss: 4.214845 | lrm: 0.78 | dt: 733ms | tok/sec: 44,714 | mfu: 0.1% | epoch: 1 | remaining: 136s    
step 00227 (54.8%) | loss: 4.221576 | lrm: 0.77 | dt: 735ms | tok/sec: 44,584 | mfu: 0.1% | epoch: 1 | remaining: 135s    
step 00228 (55.1%) | loss: 4.214154 | lrm: 0.77 | dt: 737ms | tok/sec: 44,441 | mfu: 0.1% | epoch: 1 | remaining: 134s    
step 00229 (55.3%) | loss: 4.219893 | lrm: 0.77 | dt: 765ms | tok/sec: 42,843 | mfu: 0.1% | epoch: 1 | remaining: 133s    
step 00230 (55.6%) | loss: 4.219150 | lrm: 0.76 | dt: 740ms | tok/sec: 44,310 | mfu: 0.1% | epoch: 1 | remaining: 133s    
step 00231 (55.8%) | loss: 4.208135 | lrm: 0.76 | dt: 755ms | tok/sec: 43,429 | mfu: 0.1% | epoch: 1 | remaining: 132s    
step 00232 (56.1%) | loss: 4.218647 | lrm: 0.75 | dt: 748ms | tok/sec: 43,825 | mfu: 0.1% | epoch: 1 | remaining: 131s    
step 00233 (56.3%) | loss: 4.214180 | lrm: 0.75 | dt: 748ms | tok/sec: 43,824 | mfu: 0.1% | epoch: 1 | remaining: 130s    
step 00234 (56.6%) | loss: 4.224546 | lrm: 0.75 | dt: 749ms | tok/sec: 43,774 | mfu: 0.1% | epoch: 1 | remaining: 130s    
step 00235 (56.8%) | loss: 4.214024 | lrm: 0.74 | dt: 746ms | tok/sec: 43,938 | mfu: 0.1% | epoch: 1 | remaining: 129s    
step 00236 (57.1%) | loss: 4.194883 | lrm: 0.74 | dt: 743ms | tok/sec: 44,131 | mfu: 0.1% | epoch: 1 | remaining: 128s    
step 00237 (57.3%) | loss: 4.190581 | lrm: 0.73 | dt: 741ms | tok/sec: 44,242 | mfu: 0.1% | epoch: 1 | remaining: 127s    
step 00238 (57.6%) | loss: 4.190826 | lrm: 0.73 | dt: 741ms | tok/sec: 44,245 | mfu: 0.1% | epoch: 1 | remaining: 127s    
step 00239 (57.8%) | loss: 4.186856 | lrm: 0.73 | dt: 748ms | tok/sec: 43,820 | mfu: 0.1% | epoch: 1 | remaining: 126s    
step 00240 (58.1%) | loss: 4.185930 | lrm: 0.72 | dt: 746ms | tok/sec: 43,928 | mfu: 0.1% | epoch: 1 | remaining: 125s    
step 00241 (58.3%) | loss: 4.175755 | lrm: 0.72 | dt: 740ms | tok/sec: 44,302 | mfu: 0.1% | epoch: 1 | remaining: 124s    
step 00242 (58.6%) | loss: 4.177661 | lrm: 0.72 | dt: 733ms | tok/sec: 44,680 | mfu: 0.1% | epoch: 1 | remaining: 124s    
step 00243 (58.8%) | loss: 4.173448 | lrm: 0.71 | dt: 746ms | tok/sec: 43,923 | mfu: 0.1% | epoch: 1 | remaining: 123s    
step 00244 (59.0%) | loss: 4.160138 | lrm: 0.71 | dt: 735ms | tok/sec: 44,582 | mfu: 0.1% | epoch: 1 | remaining: 122s    
step 00245 (59.3%) | loss: 4.158969 | lrm: 0.70 | dt: 732ms | tok/sec: 44,747 | mfu: 0.1% | epoch: 1 | remaining: 121s    
step 00246 (59.5%) | loss: 4.156211 | lrm: 0.70 | dt: 744ms | tok/sec: 44,060 | mfu: 0.1% | epoch: 1 | remaining: 121s    
step 00247 (59.8%) | loss: 4.154090 | lrm: 0.70 | dt: 757ms | tok/sec: 43,283 | mfu: 0.1% | epoch: 1 | remaining: 120s    
step 00248 (60.0%) | loss: 4.157493 | lrm: 0.69 | dt: 742ms | tok/sec: 44,187 | mfu: 0.1% | epoch: 1 | remaining: 119s    
step 00249 (60.3%) | loss: 4.149447 | lrm: 0.69 | dt: 743ms | tok/sec: 44,119 | mfu: 0.1% | epoch: 1 | remaining: 118s    
step 00250 (60.5%) | loss: 4.142474 | lrm: 0.69 | dt: 771ms | tok/sec: 42,484 | mfu: 0.1% | epoch: 1 | remaining: 118s    
step 00251 (60.8%) | loss: 4.142000 | lrm: 0.68 | dt: 740ms | tok/sec: 44,263 | mfu: 0.1% | epoch: 1 | remaining: 117s    
step 00252 (61.0%) | loss: 4.147982 | lrm: 0.68 | dt: 748ms | tok/sec: 43,830 | mfu: 0.1% | epoch: 1 | remaining: 116s    
step 00253 (61.3%) | loss: 4.146903 | lrm: 0.67 | dt: 762ms | tok/sec: 42,994 | mfu: 0.1% | epoch: 1 | remaining: 115s    
step 00254 (61.5%) | loss: 4.142614 | lrm: 0.67 | dt: 825ms | tok/sec: 39,716 | mfu: 0.1% | epoch: 1 | remaining: 115s    
step 00255 (61.8%) | loss: 4.144629 | lrm: 0.67 | dt: 755ms | tok/sec: 43,403 | mfu: 0.1% | epoch: 1 | remaining: 114s    
step 00256 (62.1%) | loss: 4.140624 | lrm: 0.66 | dt: 779ms | tok/sec: 42,089 | mfu: 0.1% | epoch: 1 | remaining: 113s    
step 00257 (62.3%) | loss: 4.131891 | lrm: 0.66 | dt: 788ms | tok/sec: 41,595 | mfu: 0.1% | epoch: 1 | remaining: 112s    
step 00258 (62.6%) | loss: 4.133293 | lrm: 0.65 | dt: 784ms | tok/sec: 41,790 | mfu: 0.1% | epoch: 1 | remaining: 111s    
step 00259 (62.8%) | loss: 4.134499 | lrm: 0.65 | dt: 792ms | tok/sec: 41,393 | mfu: 0.1% | epoch: 1 | remaining: 111s    
step 00260 (63.1%) | loss: 4.139110 | lrm: 0.65 | dt: 758ms | tok/sec: 43,206 | mfu: 0.1% | epoch: 1 | remaining: 110s    
step 00261 (63.4%) | loss: 4.141745 | lrm: 0.64 | dt: 750ms | tok/sec: 43,666 | mfu: 0.1% | epoch: 1 | remaining: 109s    
step 00262 (63.6%) | loss: 4.130882 | lrm: 0.64 | dt: 744ms | tok/sec: 44,040 | mfu: 0.1% | epoch: 1 | remaining: 108s    
step 00263 (63.9%) | loss: 4.129123 | lrm: 0.63 | dt: 750ms | tok/sec: 43,661 | mfu: 0.1% | epoch: 1 | remaining: 108s    
step 00264 (64.1%) | loss: 4.113760 | lrm: 0.63 | dt: 756ms | tok/sec: 43,353 | mfu: 0.1% | epoch: 1 | remaining: 107s    
step 00265 (64.4%) | loss: 4.114245 | lrm: 0.63 | dt: 743ms | tok/sec: 44,075 | mfu: 0.1% | epoch: 1 | remaining: 106s    
step 00266 (64.6%) | loss: 4.105131 | lrm: 0.62 | dt: 746ms | tok/sec: 43,909 | mfu: 0.1% | epoch: 1 | remaining: 105s    
step 00267 (64.9%) | loss: 4.099859 | lrm: 0.62 | dt: 744ms | tok/sec: 44,064 | mfu: 0.1% | epoch: 1 | remaining: 105s    
step 00268 (65.1%) | loss: 4.091895 | lrm: 0.62 | dt: 740ms | tok/sec: 44,310 | mfu: 0.1% | epoch: 1 | remaining: 104s    
step 00269 (65.4%) | loss: 4.096637 | lrm: 0.61 | dt: 735ms | tok/sec: 44,608 | mfu: 0.1% | epoch: 1 | remaining: 103s    
step 00270 (65.6%) | loss: 4.107557 | lrm: 0.61 | dt: 744ms | tok/sec: 44,046 | mfu: 0.1% | epoch: 1 | remaining: 102s    
step 00271 (65.8%) | loss: 4.101615 | lrm: 0.60 | dt: 768ms | tok/sec: 42,684 | mfu: 0.1% | epoch: 1 | remaining: 102s    
step 00272 (66.1%) | loss: 4.093516 | lrm: 0.60 | dt: 780ms | tok/sec: 41,992 | mfu: 0.1% | epoch: 1 | remaining: 101s    
step 00273 (66.4%) | loss: 4.092276 | lrm: 0.60 | dt: 741ms | tok/sec: 44,222 | mfu: 0.1% | epoch: 1 | remaining: 100s    
step 00274 (66.6%) | loss: 4.078868 | lrm: 0.59 | dt: 740ms | tok/sec: 44,265 | mfu: 0.1% | epoch: 1 | remaining: 99s    
step 00275 (66.9%) | loss: 4.083573 | lrm: 0.59 | dt: 776ms | tok/sec: 42,235 | mfu: 0.1% | epoch: 1 | remaining: 99s    
step 00276 (67.1%) | loss: 4.078669 | lrm: 0.58 | dt: 744ms | tok/sec: 44,022 | mfu: 0.1% | epoch: 1 | remaining: 98s    
step 00277 (67.4%) | loss: 4.077866 | lrm: 0.58 | dt: 736ms | tok/sec: 44,502 | mfu: 0.1% | epoch: 1 | remaining: 97s    
step 00278 (67.6%) | loss: 4.072540 | lrm: 0.58 | dt: 733ms | tok/sec: 44,730 | mfu: 0.1% | epoch: 1 | remaining: 96s    
step 00279 (67.9%) | loss: 4.072060 | lrm: 0.57 | dt: 741ms | tok/sec: 44,203 | mfu: 0.1% | epoch: 1 | remaining: 96s    
step 00280 (68.1%) | loss: 4.072388 | lrm: 0.57 | dt: 737ms | tok/sec: 44,477 | mfu: 0.1% | epoch: 1 | remaining: 95s    
step 00281 (68.3%) | loss: 4.064522 | lrm: 0.57 | dt: 731ms | tok/sec: 44,839 | mfu: 0.1% | epoch: 1 | remaining: 94s    
step 00282 (68.6%) | loss: 4.077976 | lrm: 0.56 | dt: 744ms | tok/sec: 44,065 | mfu: 0.1% | epoch: 1 | remaining: 93s    
step 00283 (68.8%) | loss: 4.075002 | lrm: 0.56 | dt: 740ms | tok/sec: 44,279 | mfu: 0.1% | epoch: 1 | remaining: 93s    
step 00284 (69.1%) | loss: 4.072733 | lrm: 0.55 | dt: 739ms | tok/sec: 44,338 | mfu: 0.1% | epoch: 1 | remaining: 92s    
step 00285 (69.3%) | loss: 4.053633 | lrm: 0.55 | dt: 733ms | tok/sec: 44,726 | mfu: 0.1% | epoch: 1 | remaining: 91s    
step 00286 (69.6%) | loss: 4.048040 | lrm: 0.55 | dt: 733ms | tok/sec: 44,685 | mfu: 0.1% | epoch: 1 | remaining: 91s    
step 00287 (69.8%) | loss: 4.037824 | lrm: 0.54 | dt: 734ms | tok/sec: 44,631 | mfu: 0.1% | epoch: 1 | remaining: 90s    
step 00288 (70.1%) | loss: 4.046793 | lrm: 0.54 | dt: 732ms | tok/sec: 44,780 | mfu: 0.1% | epoch: 1 | remaining: 89s    
step 00289 (70.3%) | loss: 4.040961 | lrm: 0.54 | dt: 734ms | tok/sec: 44,627 | mfu: 0.1% | epoch: 1 | remaining: 88s    
step 00290 (70.6%) | loss: 4.040866 | lrm: 0.53 | dt: 736ms | tok/sec: 44,493 | mfu: 0.1% | epoch: 1 | remaining: 88s    
step 00291 (70.8%) | loss: 4.034306 | lrm: 0.53 | dt: 735ms | tok/sec: 44,576 | mfu: 0.1% | epoch: 1 | remaining: 87s    
step 00292 (71.0%) | loss: 4.034466 | lrm: 0.52 | dt: 737ms | tok/sec: 44,480 | mfu: 0.1% | epoch: 1 | remaining: 86s    
step 00293 (71.3%) | loss: 4.026296 | lrm: 0.52 | dt: 739ms | tok/sec: 44,326 | mfu: 0.1% | epoch: 1 | remaining: 85s    
step 00294 (71.5%) | loss: 4.034685 | lrm: 0.52 | dt: 750ms | tok/sec: 43,711 | mfu: 0.1% | epoch: 1 | remaining: 85s    
step 00295 (71.8%) | loss: 4.036936 | lrm: 0.51 | dt: 742ms | tok/sec: 44,181 | mfu: 0.1% | epoch: 1 | remaining: 84s    
step 00296 (72.0%) | loss: 4.035764 | lrm: 0.51 | dt: 750ms | tok/sec: 43,676 | mfu: 0.1% | epoch: 1 | remaining: 83s    
step 00297 (72.3%) | loss: 4.043769 | lrm: 0.51 | dt: 736ms | tok/sec: 44,513 | mfu: 0.1% | epoch: 1 | remaining: 82s    
step 00298 (72.5%) | loss: 4.044491 | lrm: 0.50 | dt: 744ms | tok/sec: 44,072 | mfu: 0.1% | epoch: 1 | remaining: 82s    
step 00299 (72.8%) | loss: 4.047349 | lrm: 0.50 | dt: 746ms | tok/sec: 43,953 | mfu: 0.1% | epoch: 1 | remaining: 81s    
step 00300 (73.0%) | loss: 4.041634 | lrm: 0.49 | dt: 744ms | tok/sec: 44,066 | mfu: 0.1% | epoch: 1 | remaining: 80s    
step 00301 (73.3%) | loss: 4.030482 | lrm: 0.49 | dt: 745ms | tok/sec: 44,007 | mfu: 0.1% | epoch: 1 | remaining: 79s    
step 00302 (73.5%) | loss: 4.040810 | lrm: 0.49 | dt: 738ms | tok/sec: 44,400 | mfu: 0.1% | epoch: 1 | remaining: 79s    
step 00303 (73.8%) | loss: 4.039079 | lrm: 0.48 | dt: 747ms | tok/sec: 43,868 | mfu: 0.1% | epoch: 1 | remaining: 78s    
step 00304 (74.0%) | loss: 4.039609 | lrm: 0.48 | dt: 738ms | tok/sec: 44,404 | mfu: 0.1% | epoch: 1 | remaining: 77s    
step 00305 (74.3%) | loss: 4.032930 | lrm: 0.47 | dt: 744ms | tok/sec: 44,033 | mfu: 0.1% | epoch: 1 | remaining: 76s    
